N_followers,active_count,active_indices,actuator_tau_s,alpha_mps2,budget_ok,case_id,command_delay_s,controller,disturbance_end_s,disturbance_half_duration_s,disturbance_location,disturbance_start_s,disturbance_waveform,dt_s,equipped_count,equipped_indices,failure_count,first_limit_kind,first_limit_time_s,first_limit_value,first_limit_vehicle,hdv_model,heavy_indices,horizon_s,information_delay_s,layout,mean_loss_m_per_follower,min_gap_m,normalized_loss,peak_braking_mps2,peak_constraint_kind,peak_constraint_time_s,peak_constraint_usage,peak_constraint_vehicle,peak_jerk_mps3,predicted_bottleneck_constraint,predicted_bottleneck_margin,predicted_bottleneck_time_s,predicted_bottleneck_vehicle,pulse_internal_gain,pulse_tail_gain,reaction_delay_s,recovered,run_id,safe,seed,studies,success,target_gap_m,target_speed_mps,terminal_acceleration_error_mps2,terminal_gap_error_m,terminal_speed_error_mps,throughput_loss_vehicle_m,total_vehicles
40,4,"[1,2,3,4]",0.35,0.0,1.0,front_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,2,3,4]",0.0,jerk,0.1,8.431356589244537e-16,34,idm,[],60.0,0.2,front,0.0,24.0,0.0,1.4937857699229206e-16,jerk,0.1,8.431356589244537e-16,34,4.215678294622268e-15,acceleration_upper,0.9999999999999998,0.0,34,0.0,0.0,0.7,1.0,0555b435aceeb9c5,1.0,11,layout_comparison,1.0,24.0,20.0,4.215678294622269e-16,0.0,0.0,0.0,41
40,4,"[37,38,39,40]",0.35,2.5,0.0,rear_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[37,38,39,40]",136.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,rear,292.5272907163568,-57.46458310946696,0.24377274226363063,4.5,gap_lower,60.0,4.0732291554733475,37,5.000000000000004,gap_lower,-3.5523442823082356,59.900000000000006,37,5.333333333333333,0.17000134978236758,0.7,0.0,058a9c4f50e00c0e,0.0,79,layout_comparison,0.0,24.0,20.0,4.5,101.2295156261979,20.0,11701.09162865427,41
40,4,"[1,14,27,40]",0.35,0.0,1.0,even_idm_leader_d02,0.2,acc,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",0.0,jerk,0.1,3.092860462114067e-16,6,idm,[],60.0,0.2,even,0.0,24.0,0.0,1.5331773592430868e-16,jerk,0.1,3.092860462114067e-16,6,1.5464302310570335e-15,acceleration_upper,0.9999999999999999,0.0,3,0.0,0.0,0.7,1.0,05f7df3f840e54db,1.0,97,controller_comparison,1.0,24.0,20.0,1.5464302310570336e-16,0.0,0.0,0.0,41
40,4,"[1,14,27,40]",0.35,2.1,0.0,even_idm_leader_d02,0.2,wave,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",91.0,jerk_saturation,5.0,-21.0,0,idm,[],60.0,0.2,even,135.90727194972527,-32.83215666837586,0.11325605995810441,4.5,gap_lower,60.0,2.841607833418793,27,5.000000000000004,gap_lower,-2.023876410698638,59.900000000000006,27,6.349206349206349,3.1083072119035746,0.7,0.0,06202649eee579af,0.0,167,controller_comparison,0.0,24.0,20.0,4.5,107.0915857572906,20.0,5436.290877989011,41
40,4,"[1,14,27,40]",0.35,0.25,1.0,even_idm_leader_d02,0.2,acc,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",0.0,acceleration_upper,8.9,0.11045353428495491,1,idm,[],60.0,0.2,even,0.4019824942067355,23.60495247716439,0.00033498541183894624,0.25,acceleration_upper,8.9,0.11045353428495491,1,5.0,acceleration_upper,0.8798395296158674,8.3,1,0.8070695198907742,0.000484368741401416,0.7,1.0,06406249e9ac2cb4,1.0,149,controller_comparison,1.0,24.0,20.0,0.007140762725533455,0.0594551755187922,0.02944182136656437,16.07929976826942,41
80,8,"[1,12,24,35,46,57,69,80]",0.35,1.0,1.0,even_idm_leader_N80,0.2,predictive,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,8,"[1,12,24,35,46,57,69,80]",1.0,jerk_saturation,5.0,-10.0,0,idm,[],60.0,0.2,even,0.8380631398343027,21.882056486128107,0.000698385949861919,1.0,jerk,11.200000000000001,0.14285753923608713,1,5.0,gap_lower,0.836886763385144,6.7,1,0.2333332177228229,0.0,0.7,1.0,066ae2ab1ab6a198,1.0,131,chain_length_scope,1.0,24.0,20.0,0.20351639197953236,1.1585969387929254,0.12500000000001066,67.04505118674422,81
40,4,"[19,20,21,22]",0.35,1.8,0.0,middle_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[19,20,21,22]",76.0,jerk_saturation,5.0,-18.0,0,idm,[],60.0,0.2,middle,101.65719542954662,-85.9589485655087,0.08471432952462218,4.5,gap_lower,45.300000000000004,5.4979474282754355,19,5.000000000000004,gap_lower,-4.502162452501703,44.300000000000004,19,7.4074074074074066,0.0006266031511167377,0.7,0.0,06c1f646870175d6,0.0,97,layout_comparison;prediction_scope,0.0,24.0,20.0,4.5,98.84721424155725,20.0,4066.2878171818647,41
20,2,"[1,20]",0.35,0.0,1.0,even_idm_leader_N20,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,2,"[1,20]",0.0,jerk,0.1,3.038634963225178e-16,2,idm,[],60.0,0.2,even,0.0,24.0,0.0,1.4809356839139917e-16,jerk,0.1,3.038634963225178e-16,2,1.519317481612589e-15,acceleration_upper,0.9999999999999999,0.0,2,0.0,0.0,0.7,1.0,06e132e7a7ea4af8,1.0,113,chain_length_scope,1.0,24.0,20.0,1.519317481612589e-16,0.0,0.0,0.0,21
40,4,"[1,14,27,40]",0.35,2.5,1.0,even_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,even,7.433461497860739,17.940824239627887,0.006194551248217282,2.5,gap_lower,8.6,0.30295878801860565,1,5.0,gap_lower,0.6284722142964542,7.1000000000000005,1,0.3329445331574059,0.0,0.7,1.0,07228adc073871ce,1.0,131,controller_comparison;layout_comparison;prediction_scope,1.0,24.0,20.0,0.11437566801709889,1.9137499999919783,0.44517702603809894,297.33845991442956,41
40,4,"[1,14,27,40]",0.35,2.1,0.0,even_idm_leader_d02,0.2,acc,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",111.0,jerk_saturation,5.0,-21.0,0,idm,[],60.0,0.2,even,191.9753746428431,-2.516027785828726,0.1599794788690359,4.5,gap_lower,42.5,1.3258013892914362,25,5.000000000000004,gap_lower,-0.5013013892914367,42.0,25,6.349206349206349,3.94306772865,0.7,0.0,074c777b89edcb8b,0.0,131,controller_comparison,0.0,24.0,20.0,4.5,112.75563056773655,20.0,7679.014985713724,41
