N_followers,alpha_mps2,case_id,command_delay_s,controller,disturbance_location,hdv_model,layout,mean_loss_m_per_follower_median,mean_loss_m_per_follower_q25,mean_loss_m_per_follower_q75,min_gap_m_median,min_gap_m_q25,min_gap_m_q75,normalized_loss_median,normalized_loss_q25,normalized_loss_q75,peak_constraint_usage_median,peak_constraint_usage_q25,peak_constraint_usage_q75,peak_jerk_mps3_median,peak_jerk_mps3_q25,peak_jerk_mps3_q75,pulse_internal_gain_median,pulse_internal_gain_q25,pulse_internal_gain_q75,success_rate,success_wilson_high,success_wilson_low,successes,terminal_gap_error_m_median,terminal_gap_error_m_q25,terminal_gap_error_m_q75,terminal_speed_error_mps_median,terminal_speed_error_mps_q25,terminal_speed_error_mps_q75,throughput_loss_vehicle_m_median,throughput_loss_vehicle_m_q25,throughput_loss_vehicle_m_q75,trials
40,1.0,even_idm_leader_cmd0,0.0,margin,0,idm,even,3.565243697669603,3.423756124238703,3.6772181237568553,22.034208599529606,22.034208599529606,22.034208599529606,0.0029710364147246694,0.002853130103532253,0.003064348436464046,0.14285724680060036,0.14285724680060036,0.14285724680060036,5.0,5.0,5.0,0.31666663634981757,0.31666663634981757,0.31666663634981757,1.0,0.9999999999999999,0.6096569663469354,6,2.6349999999997635,2.6349999999997635,2.6349999999997635,0.2693578244222632,0.25866987187081936,0.2844976530039247,142.60974790678412,136.95024496954812,147.08872495027418,6
40,0.25,even_idm_leader_d02,0.2,predictive,0,idm,even,0.0,0.0,0.0,23.4375,23.4375,23.4375,0.0,0.0,0.0,0.028125,0.028125,0.028125,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.7574992425007574,12,0.5625,0.5625,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,12
40,1.5,middle_idm_leader_d02,0.2,margin,0,idm,middle,8.96938256289642,7.405003845242505,20.109063605999683,12.813753795313843,-4.929440803873071,16.89206236112195,0.00747448546908035,0.006170836537702087,0.016757553004999735,0.8071324895873498,0.5640875298346351,1.4464720401936535,5.0,5.0,5.000000000000002,1.9815729811444793,1.2010749071578144,5.333972495860728,0.5,0.7462218296065778,0.2537781703934222,6,5.1236001211897815,4.056269339039233,16.05738178496246,0.8784100254844684,0.6378608595011865,6.4044164430394686,358.7753025158568,296.20015380970017,804.3625442399873,12
20,0.0,even_idm_leader_N20,0.2,wave,0,idm,even,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,3.0436411107557075e-16,3.0034975833101663e-16,3.071038931925405e-16,1.5218205553778536e-15,1.5017487916550829e-15,1.5355194659627026e-15,0.0,0.0,0.0,1.0,0.9999999999999999,0.6096569663469354,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
20,2.0,even_idm_leader_N20,0.2,margin,0,idm,even,8.495045844499886,8.467067852556598,8.501764810817305,19.56003271057392,19.56003271057392,19.56003271057392,0.007079204870416572,0.0070558898771304985,0.007084804009014421,0.22199836447130394,0.22199836447130394,0.22199836447130394,5.0,5.0,5.0,0.3220486990081941,0.3173321480188435,0.3290218236052785,1.0,0.9999999999999999,0.6096569663469354,6,2.3075000000003456,2.3075000000003456,2.3075000000003456,0.17591307713792936,0.17525525364782268,0.26908459984861377,169.90091688999772,169.34135705113198,170.0352962163461,6
40,1.7,rear_idm_leader_d02,0.2,margin,0,idm,rear,164.00138360023882,145.92539293281706,186.60544791874077,-48.82243511124794,-50.836677256721444,-46.59344706724271,0.1366678196668657,0.12160449411068089,0.15550453993228394,3.6411217555623976,3.5296723533621353,3.741833862836072,5.000000000000004,5.000000000000004,5.000000000000004,7.843137254901961,7.843137254901961,7.843137254901961,0.0,0.2425007574992425,0.0,0,112.50674053977554,95.8708845180766,122.78684972577214,20.0,20.0,20.0,6560.055344009554,5837.015717312683,7464.217916749629,12
40,0.0,rear_idm_leader_d02,0.2,margin,0,idm,rear,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,3.0811654457797164e-16,3.0542957854740404e-16,3.0932975757230254e-16,1.5405827228898582e-15,1.5271478927370201e-15,1.5466487878615127e-15,0.0,0.0,0.0,1.0,1.0,0.7574992425007574,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
80,1.5,even_idm_leader_N80,0.2,predictive,0,idm,even,1.2374592569997733,1.2058107129809597,1.2755823510510473,20.59906245446058,20.59906245446058,20.59906245446058,0.001031216047499811,0.0010048422608174663,0.0010629852925425395,0.17004687727697104,0.17004687727697104,0.17004687727697104,5.0,5.0,5.0,0.2222220090665543,0.2222220090665543,0.22504467289746996,1.0,0.9999999999999999,0.6096569663469354,6,1.3210241097810353,1.3044434108707463,1.3333935025075476,0.16974788926399675,0.1546288337826347,0.17246278601343867,98.99674055998187,96.46485703847677,102.0465880840838,6
40,1.8,front_idm_leader_d02,0.2,margin,0,idm,front,6.669137850838142,6.564968218479463,6.854879494007877,20.118271619165995,20.118271619165995,20.118271619165995,0.005557614875698452,0.005470806848732886,0.005712399578339897,0.1949187838400666,0.1949187838400666,0.1949187838400666,5.0,5.0,5.0,0.3239786377755459,0.3239786377755459,0.3239786377755459,1.0,1.0,0.7574992425007574,12,2.972280225506438,2.972280225506438,2.972280225506438,0.41211218481466716,0.40296742813232544,0.4216753935095898,266.7655140335257,262.59872873917857,274.19517976031506,12
80,1.8,even_idm_leader_N80,0.2,margin,0,idm,even,2.7140018347472203,2.6619810669237816,2.7649084328198104,20.118271619165995,20.118271619165995,20.118271619165995,0.002261668195622684,0.0022183175557698182,0.0023040903606831756,0.1949187838400666,0.1949187838400666,0.1949187838400666,5.0,5.0,5.0,0.3268166442318253,0.3239786377755459,0.332070896763813,1.0,0.9999999999999999,0.6096569663469354,6,2.0696588234462183,2.0396383905912785,2.3668017487860027,0.42499999999999005,0.4062499999999911,0.42499999999999005,217.12014677977766,212.95848535390252,221.19267462558486,6
