run_id,case_id,layout,seed,alpha_mps2,active_indices,prefix_indices,first_prefix_safety_vehicle,first_prefix_safety_time_s,first_prefix_safety_gap_m,first_prefix_collision_time_s,source,first_crossing_verified
4c4205181479e409,middle_idm_leader_d02,middle,113,4.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.0,3.883085011782612,18.0,results/nonlinear_revision/failure_log.jsonl,True
c96eeb71a5a2a3e3,middle_idm_leader_d02,middle,131,4.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.0,3.803864379273733,17.900000000000002,results/nonlinear_revision/failure_log.jsonl,True
e60582a2e2dac651,middle_idm_leader_d02,middle,149,4.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,15.8,3.741514705294648,18.1,results/nonlinear_revision/failure_log.jsonl,True
db100dac44008893,middle_idm_leader_d02,middle,167,4.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.0,3.926163494266348,17.8,results/nonlinear_revision/failure_log.jsonl,True
c960c13d9234ae50,middle_idm_leader_d02,middle,191,4.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,15.9,3.965851794746257,18.3,results/nonlinear_revision/failure_log.jsonl,True
73023363e5d065ce,middle_idm_leader_d02,middle,97,4.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.0,3.9775771797450687,18.0,results/nonlinear_revision/failure_log.jsonl,True
731611d156372066,middle_idm_leader_d02,middle,113,4.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.0,3.468936314343153,17.1,results/nonlinear_revision/failure_log.jsonl,True
e54b117dea7a098a,middle_idm_leader_d02,middle,131,4.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",5.0,14.8,3.990869301952017,16.8,results/nonlinear_revision/failure_log.jsonl,True
e78e4e6896558965,middle_idm_leader_d02,middle,149,4.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",5.0,14.6,3.956961283787251,16.5,results/nonlinear_revision/failure_log.jsonl,True
d78e92a207ebf4d9,middle_idm_leader_d02,middle,167,4.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,15.9,3.9803446360895833,17.8,results/nonlinear_revision/failure_log.jsonl,True
