controller,seed,time_s,vehicle,selected_command_mps2,empty_feasible_pool,old_endpoint_speed_mps,exact_lag_speed_mps,discrete_rollout_speed_mps,old_endpoint_gap_m,exact_lag_gap_m,discrete_rollout_gap_m,old_minus_exact_speed_mps,old_minus_discrete_speed_mps,old_minus_discrete_gap_m,old_screen_feasible_selected,discrete_endpoint_feasible_selected,rollout_speed_projection_count
predictive,3,3.5,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.5,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.5,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.5,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.6,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.6,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.6,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.6,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.7,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.7,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.7,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.7,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.8000000000000003,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.8000000000000003,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.8000000000000003,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.8000000000000003,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.9000000000000004,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.995000000000005,0.0,0.0,0.0049999999999954525,1,1,0
predictive,3,3.9000000000000004,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.9000000000000004,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.9000000000000004,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.0,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.980000000000004,0.0,0.0,0.01999999999999602,1,1,0
predictive,3,4.0,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.0,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.0,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.1000000000000005,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.950000000000003,0.0,0.0,0.04999999999999716,1,1,0
predictive,3,4.1000000000000005,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.1000000000000005,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.1000000000000005,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.2,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.900000000000006,0.0,0.0,0.09999999999999432,1,1,0
predictive,3,4.2,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.2,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.2,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.3,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.825000000000003,0.0,0.0,0.17499999999999716,1,1,0
predictive,3,4.3,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.3,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.3,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.4,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.72,0.0,0.0,0.28000000000000114,1,1,0
predictive,3,4.4,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.4,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.4,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.5,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.58,0.0,0.0,0.4200000000000017,1,1,0
predictive,3,4.5,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.5,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.5,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.6000000000000005,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.39999999999999,0.0,0.0,0.6000000000000085,1,1,0
predictive,3,4.6000000000000005,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.6000000000000005,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.6000000000000005,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.7,1,0.0,0,20.0,20.0,20.0,24.0,24.0,23.174999999999997,0.0,0.0,0.8250000000000028,1,1,0
predictive,3,4.7,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.7,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.7,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.800000000000001,1,0.0,0,20.0,20.0,20.0,24.0,24.0,22.905,0.0,0.0,1.0949999999999989,1,1,0
predictive,3,4.800000000000001,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.800000000000001,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.800000000000001,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.9,1,0.0,0,20.0,20.0,20.0,24.0,24.0,22.590000000000003,0.0,0.0,1.4099999999999966,1,1,0
predictive,3,4.9,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.9,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,4.9,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.0,1,0.0,0,20.0,20.0,20.0,24.0,24.0,22.230000000000004,0.0,0.0,1.769999999999996,1,1,0
predictive,3,5.0,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.0,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.0,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.1000000000000005,1,0.0,0,20.0,20.0,20.0,24.0,24.0,21.825000000000003,0.0,0.0,2.174999999999997,1,1,0
predictive,3,5.1000000000000005,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.1000000000000005,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.1000000000000005,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.2,1,0.0,0,20.0,20.0,20.0,24.0,24.0,21.375,0.0,0.0,2.625,1,1,0
predictive,3,5.2,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.2,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,5.2,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
